t,EE,SE
0.0,0.0,0.0
0.025,1744.7493637340106,18.927509388079553
0.05,2490.4096965742337,26.71473468580459
0.07500000000000001,3043.2005393053046,32.38642140640174
0.1,3502.9355236345664,37.12892075981815
0.125,3904.7103579223385,41.423594283339135
0.15000000000000002,4266.835534725342,45.03231545967627
0.17500000000000002,4595.4122819979375,48.55024697134179
0.2,4899.642207245727,51.528838285418296
0.225,5154.259493977473,54.11938087281211
0.25,5403.0694677059655,56.386222900127024
0.275,5607.500351486364,58.81111333913575
0.30000000000000004,5811.3858673189025,60.88232657591583
0.325,5998.9171681630605,62.85479697887148
0.35000000000000003,6144.368687720599,64.55843903690628
0.375,6326.035674915573,66.39610898892317
0.4,6486.34195224818,67.7771040395019
0.42500000000000004,6685.9919547671825,69.6643140019304
0.45,6824.274797809075,71.08867234514425
0.47500000000000003,6984.758483781947,72.77598111050855
0.5,7106.962202372529,74.17427924081932
0.525,7228.9857427790685,75.34337775248592
0.55,7380.730708259902,76.5451335225593
0.5750000000000001,7486.368233616868,77.56850370000444
0.6000000000000001,7605.428485138818,79.03611066661884
0.625,7737.504250330444,80.18312781061306
0.65,7849.380637237656,81.11003707429171
0.675,7910.317033633732,81.77169934085964
0.7000000000000001,8007.430551309615,82.62615601755132
0.7250000000000001,8126.46499538285,83.56213046726002
0.75,8206.437959889598,84.41913653295346
0.775,8268.837113067086,85.30213996489125
0.8,8374.903942361627,86.1460637444055
0.8250000000000001,8411.76044867573,86.69662052857939
0.8500000000000001,8474.87584147835,87.44706060876277
0.875,8525.832252234037,88.06896257682637
0.9,8574.30529136529,88.78556569886666
0.925,8628.44853374828,89.41125860456613
0.9500000000000001,8694.293655701851,89.75767058862273
0.9750000000000001,8740.57804960101,90.32511609764393
1.0,8809.095559958141,90.92405167078851
1.0250000000000001,8829.415884154532,91.18964986180012
1.05,8861.136646422847,91.44829783054234
1.075,8894.475364769698,91.91546295658894
1.1,8907.63900441338,92.15349684647084
1.125,8939.583082485644,92.57496747775156
1.1500000000000001,9006.834496629377,93.08110845787053
1.175,9053.426664545477,93.29506066867216
1.2000000000000002,9065.494168406456,93.39278608751832
1.225,9142.338258203388,93.94293586569182
1.25,9172.646028788464,94.26743316797277
1.2750000000000001,9181.119016007617,94.61502926740634
1.3,9187.5302574028,94.584121302366
1.3250000000000002,9156.396923458298,94.60170734105874
1.35,9210.071530359412,95.2325491788804
1.375,9231.466385441256,95.45945637479309
1.4000000000000001,9252.84198653703,95.61028190575227
1.425,9231.577119738717,95.72657828094822
1.4500000000000002,9247.618492364574,95.74452251710947
1.475,9265.637343106606,95.82791276124105
1.5,9271.66005427081,95.99207742756946
1.5250000000000001,9230.275295261166,95.73675579871038
1.55,9223.545062864909,95.80727299667522
1.5750000000000002,9199.960382234069,95.5298030798195
1.6,9201.630143662916,95.71289625884918
1.625,9233.473246718291,96.00394862988617
1.6500000000000001,9257.41306476583,96.05749339027781
1.675,9215.579886777725,95.61209492572728
1.7000000000000002,9197.060084906354,95.49086888879674
1.725,9218.663392978526,95.6246106540518
1.75,9194.330428036325,95.23653680714479
1.7750000000000001,9196.54907298152,95.26977862258506
1.8,9161.295172448732,94.77985757098179
1.8250000000000002,9184.777084536874,94.94523942733052
1.85,9203.036009860796,94.84069685265462
1.875,9184.438527714885,94.79492839547514
1.9000000000000001,9201.325828136332,94.91762885724438
1.925,9199.731016072796,94.88023633327045
1.9500000000000002,9207.526551561828,94.81599247399846
1.975,9219.556696694011,94.61907657730076
2.0,9191.007387615064,94.58626695579798
2.025,9182.908258259677,94.4647760334486
2.0500000000000003,9197.801781053431,94.52367585164029
2.075,9161.826742068908,94.08119651410304
2.1,9111.02826737097,93.7138936282364
2.125,9117.525746203482,93.72954957295994
2.15,9150.19238812992,93.8167358075182
2.1750000000000003,9136.508114308559,93.47651923678286
2.2,9123.774566092417,93.11793019990495
2.225,9109.386528507717,92.88529313013919
2.25,9128.550097508043,93.09359173289998
2.275,9095.110980923588,92.91290789362438
2.3000000000000003,9088.095098272872,92.70351538283961
2.325,9056.358024618246,92.34297308473823
2.35,9050.053314757295,92.28883029587844
2.375,9013.380806256231,91.89239505957086
2.4000000000000004,8923.624909053897,91.40666506272696
2.4250000000000003,8927.613801093097,91.40091414474377
2.45,8929.67028643261,91.12970993045403
2.475,8913.744779353052,90.98757241577275
2.5,8906.366959225257,90.73644478328818
2.5250000000000004,8890.999967563874,90.39277370156564
2.5500000000000003,8848.48090185844,90.08140893988848
2.575,8825.65989262122,89.86795561974256
2.6,8772.628971763052,89.47099772138614
2.625,8718.696906735557,88.98121521579799
2.6500000000000004,8687.561087348551,88.73356106958624
2.6750000000000003,8658.79493977487,88.24531994229346
2.7,8629.706678931374,88.13303970559969
2.725,8613.449532282411,88.01537288273714
2.75,8584.518816618074,87.68439705025995
2.7750000000000004,8549.212068457993,87.23466772655661
2.8000000000000003,8518.236180038413,87.06399866637464
2.825,8503.685303954693,86.76911480894259
2.85,8457.154105903815,86.38683680495154
2.875,8452.13661278346,86.3295434310288
2.9000000000000004,8443.913348231546,86.23543344884567
2.9250000000000003,8396.097889526105,85.83011890746221
2.95,8348.819624715612,85.39412467747442
2.975,8306.407326778542,85.0266451522939
3.0,8288.101047861674,85.00424175642071
3.0250000000000004,8227.658161370415,84.54504876744912
3.0500000000000003,8167.793550010489,83.99861558132132
3.075,8122.173751146476,83.6739957465424
3.1,8067.108985070671,83.19344538540963
3.125,8023.901032377334,82.38074426345706
3.1500000000000004,7975.248245177739,81.79922848822714
3.1750000000000003,7942.993184201062,81.2130835951298
3.2,7867.215402720484,80.50296158368654
3.225,7797.856165610686,79.86528939288516
3.25,7736.6989662751985,79.17820338692856
3.2750000000000004,7667.348821669791,78.42246296554772
3.3000000000000003,7603.89818828671,77.97069179428469
3.325,7544.049411809039,77.37531444980984
3.35,7482.018462488022,76.56430756576123
3.375,7407.650392123255,75.88576265183221
3.4000000000000004,7331.543528457752,75.33539698393992
3.4250000000000003,7286.870156161403,74.81974809460033
3.45,7217.666229374309,74.07129743452697
3.475,7141.135687704909,73.25164183762483
3.5,7069.017323211059,72.53850394534864
3.5250000000000004,6983.478997164549,71.68886355449845
3.5500000000000003,6914.659376134657,71.0796237308668
3.575,6824.17026351684,70.45165995919564
3.6,6754.798489019896,69.74606859929936
3.625,6666.017392854613,68.74427953996637
3.6500000000000004,6603.5187950876025,67.89827946434131
3.6750000000000003,6507.343680637885,66.96159714384483
3.7,6448.261684140203,66.15897922594749
3.725,6370.916310425936,65.26342869018877
3.75,6296.872995068665,64.49369517451204
3.7750000000000004,6199.230921704685,63.65259242920929
3.8000000000000003,6132.489756164246,62.68748685815954
3.825,6039.94281780851,61.738127707458396
3.85,5961.495758052302,60.99526166640366
3.875,5896.833576051811,60.21312525424023
3.9000000000000004,5810.480766356257,59.3820421050539
3.9250000000000003,5738.325117167228,58.53381265233612
3.95,5646.275209702089,57.65034037789786
3.975,5549.776014972258,56.65837498674545
4.0,5467.10168633632,55.78188813849558
4.025,5374.572612161012,54.9552781806861
4.05,5291.9799891914,54.0620617943742
4.075,5191.3924871449035,52.98482194214459
4.1000000000000005,5097.752734249352,52.054245998317256
4.125,5000.352389922045,51.020942309323814
4.15,4897.282706639439,49.863138749309876
4.175,4801.582440334217,48.889554440577314
4.2,4673.817389945746,47.69994073657936
4.2250000000000005,4562.478501603722,46.629040125927766
4.25,4445.464857501227,45.50507641845244
4.275,4320.707195535893,44.31752909153653
4.3,4204.052398413879,43.13238911150763
4.325,4080.5700733754493,41.86837519402384
4.3500000000000005,3950.6594855443745,40.56399229703078
4.375,3824.342658835733,39.36944193464019
4.4,3695.0733661357244,38.05002296103576
4.425,3564.9877112789472,36.69866118641727
4.45,3431.3426034225995,35.34375126750308
4.4750000000000005,3300.576973818776,33.85820450277362
4.5,3169.9829580857217,32.48214484195377
4.525,3032.169849709119,31.036502744411152
4.55,2887.5950954697373,29.60387633208632
4.575,2738.5165238745967,28.128196333153856
4.6000000000000005,2600.56315032602,26.711150847877644
4.625,2457.4266274297856,25.241715489991183
4.65,2317.4176589354934,23.761252856521292
4.675,2156.2944388170818,22.15875632441317
4.7,2006.5954951969668,20.604688084210203
4.7250000000000005,1855.1236606876541,19.023409149101017
4.75,1698.4419612683685,17.440423420956535
4.775,1542.0636285162736,15.785699334471648
4.800000000000001,1384.8490811791924,14.186801690487991
4.825,1222.4631793184283,12.51393526399217
4.8500000000000005,1054.086446745027,10.791359227387142
4.875,884.6632261349514,9.054122418089602
4.9,710.4959404167416,7.297537513657996
4.925000000000001,536.5148405526048,5.507699531766758
4.95,359.83382751495947,3.699283319407991
4.9750000000000005,180.87395887707643,1.862834907817091
5.0,0.0,0.0
